timestamp,Green1 Count,Green2 Count
278,160182,134983
279,160200,134968
280,160230,134970
281,160252,134976
282,160280,134969
283,160318,134966
284,160366,134947
285,160322,134907
286,160284,134868
287,160222,134761
288,160165,134731
289,160111,134669
290,160081,134624
291,160082,134584
292,160071,134549
293,160079,134550
294,160061,134536
295,160081,134539
296,160133,134537
297,160161,134546
298,160208,134558
299,160257,134577
300,160310,134582
301,160365,134594
302,160431,134612
303,160484,134628
304,160434,134619
305,160406,134583
306,160390,134538
307,160345,134505
308,160336,134470
309,160348,134443
310,160365,134428
311,160377,134438
312,160397,134449
313,160416,134465
314,160435,134448
315,160452,134459
316,160483,134466
317,160502,134476
318,160529,134476
319,160562,134480
320,160591,134472
321,160609,134465
322,160558,134452
323,160483,134408
324,160398,134336
325,160320,134325
326,160228,134272
327,160180,134264
328,160181,134257
329,160165,134248
330,160149,134245
331,160142,134239
332,160145,134216
333,160132,134177
334,160126,134155
335,160124,134149
336,160112,134141
337,160113,134128
338,160119,134107
339,160136,134088
340,160126,134062
341,160066,134045
342,159939,133981
343,159826,133910
344,159739,133843
345,159661,133776
346,159609,133717
347,159574,133675
348,159514,133637
349,159498,133581
350,159444,133528
351,159420,133493
352,159400,133495
353,159383,133449
354,159377,133455
355,159364,133458
356,159347,133456
357,159374,133461
358,159410,133483
359,159405,133448
360,159323,133415
361,159204,133340
362,159095,133265
363,158984,133182
364,158875,133160
365,158808,133115
366,158752,133097
367,158681,133063
368,158625,133044
369,158570,133038
370,158529,133040
371,158508,133054
372,158476,133050
373,158460,133063
374,158450,133086
375,158441,133109
376,158453,133135
377,158479,133166
378,158471,133209
379,158415,133195
380,158324,133213
381,158241,133185
382,158174,133184
383,158119,133177
384,158096,133187
385,158087,133208
386,158058,133237
387,158035,133277
388,158033,133313
389,158040,133345
390,158069,133378
391,158098,133431
392,158120,133428
393,158151,133452
394,158187,133463
395,158231,133467
396,158253,133475
397,158199,133460
398,158113,133412
399,158023,133363
400,157957,133324
401,157911,133285
402,157900,133246
403,157907,133249
404,157916,133255
405,157920,133265
406,157933,133274
407,157978,133298
408,158017,133309
409,158065,133339
410,158125,133370
411,158174,133402
412,158241,133439
413,158331,133465
414,158394,133501
415,158375,133494
416,158332,133475
417,158282,133464
418,158242,133404
419,158239,133447
420,158256,133448
421,158288,133470
422,158315,133498
423,158357,133539
424,158401,133584
425,158451,133618
426,158517,133663
427,158567,133713
428,158626,133766
429,158677,133824
430,158727,133923
431,158745,134015
432,158677,134128
433,158544,134266
434,158366,134424
435,158124,134676
436,157629,134950
437,156796,134998
438,156118,134748
439,155500,134734
440,154841,135228
441,154658,135744
442,154785,136140
443,154670,136999
444,154548,138489
445,154832,140629
446,154919,142101
447,154500,144146
448,154394,146909
449,154895,148567
450,155646,149489
451,156950,150076
452,159535,149642
453,161757,149130
454,161380,149041
455,161602,148044
456,163066,143707
457,160003,152550
458,155341,156821
459,152789,155303
460,151421,152235
461,150633,146085
462,151887,135397
463,156330,128656
464,159008,127713
465,160446,127588
466,161000,127817
467,161861,127913
468,161357,130385
