timestamp ecg,
653329812200565075,51
653329812208242024,9
653329812215918973,-12
653329812223595922,-21
653329812231272871,-26
653329812238949820,-26
653329812246626769,-21
653329812254303718,-14
653329812261980667,-9
653329812269657616,-12
653329812277334565,-4
653329812285011514,7
653329812292688463,12
653329812300365412,19
653329812308042361,24
653329812315719310,26
653329812323396259,31
653329812331073208,38
653329812338750157,43
653329812346427106,48
653329812354104055,46
653329812361781004,46
653329812369457953,51
653329812377134902,55
653329812384811851,53
653329812392488800,51
653329812400165749,51
653329812407842698,53
653329812415519647,53
653329812423196596,46
653329812430873545,38
653329812438550494,41
653329812446227443,41
653329812453904392,36
653329812461581341,36
653329812469258290,41
653329812476935239,41
653329812484612188,34
653329812492289137,26
653329812499966086,24
653329812507643035,31
653329812515319984,34
653329812522996933,31
653329812530673882,36
653329812538350831,36
653329812546027780,34
653329812553704729,34
653329812561381678,36
653329812569058627,36
653329812576735576,36
653329812584412525,38
653329812592089490,38
653329812599766439,41
653329812607443388,38
653329812615120337,31
653329812622797286,36
653329812630474235,38
653329812638151184,43
653329812645828133,51
653329812653505082,41
653329812661182031,12
653329812668858980,0
653329812676535929,9
653329812684212878,17
653329812691889827,17
653329812699566776,17
653329812707243725,0
653329812714920674,2
653329812722597623,170
653329812730274572,531
653329812737951521,823
653329812745628470,617
653329812753305419,29
653329812760982368,-179
653329812768659317,36
653329812776336266,65
653329812784013215,-43
653329812791690164,-4
653329812799367113,34
653329812807044062,2
653329812814721011,9
653329812822397960,38
653329812830074909,38
653329812837751858,41
653329812845428807,51
653329812853105756,58
653329812860782705,60
653329812868459654,68
653329812876136603,75
653329812883813552,82
653329812891490501,92
653329812899167450,102
653329812906844399,109
653329812914521348,114
653329812922198297,126
653329812929875246,150
653329812937552195,172
653329812945229144,191
653329812952906093,213
653329812960583042,238
653329812968259991,257
653329812975936940,269
653329812983613889,276
653329812991290838,279
653329812998967787,267
653329813006644736,223
653329813014321685,165
653329813021998634,109
653329813029675583,60
653329813037352532,21
653329813045029481,-7
653329813052706430,-26
653329813060383379,-34
653329813068060328,-31
653329813075737277,-29
653329813083414226,-24
653329813091091175,-17
653329813098768124,-9
653329813106445073,-9
653329813114122022,-17
653329813121798971,-19
653329813129475920,-7
653329813137152869,0
653329813144829818,2
653329813152506783,7
653329813160183732,7
653329813167860681,4
653329813175537630,9
653329813183214579,9
653329813190891528,2
653329813198568477,2
653329813206245426,12
653329813213922375,12
653329813221599324,0
653329813229276273,-2
653329813236953222,2
653329813244630171,0
653329813252307120,-7
653329813259984069,-7
653329813267661018,-7
653329813275337967,-7
653329813283014916,-9
653329813290691865,-7
653329813298368814,-2
653329813306045763,0
653329813313722712,2
653329813321399661,4
653329813329076610,2
653329813336753559,4
653329813344430508,12
653329813352107457,17
653329813359784406,14
653329813367461355,14
653329813375138304,19
653329813382815253,26
653329813390492202,26
653329813398169151,24
653329813405846100,21
653329813413523049,17
653329813421199998,17
653329813428876947,24
653329813436553896,26
653329813444230845,26
653329813451907794,31
653329813459584743,34
653329813467261692,34
653329813474938641,36
653329813482615590,38
653329813490292539,38
653329813497969488,41
653329813505646437,51
653329813513323386,58
653329813521000335,63
653329813528677284,70
653329813536354233,65
653329813544031182,51
653329813551708131,43
653329813559385080,46
653329813567062029,53
653329813574738978,53
653329813582415927,55
653329813590092876,53
653329813597769825,24
653329813605446774,80
653329813613123723,357
653329813620800672,731
653329813628477621,801
653329813636154570,330
653329813643831519,-153
653329813651508468,-89
653329813659185417,87
653329813666862366,2
653329813674539315,-46
653329813682216264,17
653329813689893213,14
653329813697570162,-7
653329813705247111,19
653329813712924076,31
653329813720601025,29
653329813728277974,41
653329813735954923,48
653329813743631872,41
653329813751308821,38
653329813758985770,53
653329813766662719,60
653329813774339668,68
653329813782016617,75
653329813789693566,82
653329813797370515,97
653329813805047464,116
653329813812724413,131
653329813820401362,148
653329813828078311,170
653329813835755260,194
653329813843432209,218
653329813851109158,240
653329813858786107,257
653329813866463056,272
653329813874140005,279
653329813881816954,272
653329813889493903,247
653329813897170852,206
653329813904847801,145
653329813912524750,82
653329813920201699,36
653329813927878648,0
653329813935555597,-19
653329813943232546,-29
653329813950909495,-36
653329813958586444,-38
653329813966263393,-34
653329813973940342,-26
653329813981617291,-19
653329813989294240,-14
653329813996971189,-14
653329814004648138,-12
653329814012325087,-7
653329814020002036,-2
653329814027678985,-2
653329814035355934,4
653329814043032883,12
653329814050709832,12
653329814058386781,4
653329814066063730,0
653329814073740679,-2
653329814081417628,0
653329814089094577,2
653329814096771526,2
653329814104448475,4
653329814112125424,4
653329814119802373,0
653329814127479322,-12
653329814135156271,-12
653329814142833220,-7
653329814150510169,-12
653329814158187118,-17
653329814165864067,-12
653329814173541016,-4
653329814181217965,-2
653329814188894914,0
653329814196571863,2
653329814204248812,0
653329814211925761,2
653329814219602710,9
653329814227279659,14
653329814234956608,17
653329814242633557,17
653329814250310506,19
653329814257987455,24
653329814265664404,26
653329814273341369,24
653329814281018318,29
653329814288695267,34
653329814296372216,29
653329814304049165,21
653329814311726114,21
653329814319403063,29
653329814327080012,31
653329814334756961,26
653329814342433910,26
653329814350110859,34
653329814357787808,38
653329814365464757,38
653329814373141706,38
653329814380818655,43
653329814388495604,41
653329814396172553,34
653329814403849502,36
653329814411526451,41
653329814419203400,38
653329814426880349,38
653329814434557298,48
653329814442234247,60
653329814449911196,65
653329814457588145,70
653329814465265094,75
653329814472942043,58
653329814480618992,38
653329814488295941,46
653329814495972890,55
653329814503649839,58
653329814511326788,60
653329814519003737,55
653329814526680686,26
653329814534357635,43
653329814542034584,245
653329814549711533,619
653329814557388482,855
653329814565065431,566
653329814572742380,-14
653329814580419329,-138
653329814588096278,85
653329814595773227,75
653329814603450176,-24
653329814611127125,21
653329814618804074,43
653329814626481023,7
653329814634157972,9
653329814641834921,21
653329814649511870,17
653329814657188819,19
653329814664865768,29
653329814672542717,36
653329814680219666,46
653329814687896615,55
653329814695573564,60
653329814703250513,65
653329814710927462,77
653329814718604411,87
653329814726281360,99
653329814733958309,109
653329814741635258,121
653329814749312207,140
653329814756989156,162
653329814764666105,187
653329814772343054,208
653329814780020003,230
653329814787696952,247
653329814795373901,262
653329814803050850,269
653329814810727799,272
653329814818404748,267
653329814826081697,235
653329814833758662,179
653329814841435611,116
653329814849112560,58
653329814856789509,14
653329814864466458,-12
653329814872143407,-31
653329814879820356,-43
653329814887497305,-55
653329814895174254,-70
653329814902851203,-82
653329814910528152,-77
653329814918205101,-70
653329814925882050,-63
653329814933558999,-60
653329814941235948,-60
653329814948912897,-51
653329814956589846,-41
653329814964266795,-36
653329814971943744,-31
653329814979620693,-26
653329814987297642,-24
653329814994974591,-19
653329815002651540,-14
653329815010328489,-14
653329815018005438,-12
653329815025682387,-7
653329815033359336,-7
653329815041036285,-4
653329815048713234,-2
653329815056390183,0
653329815064067132,4
653329815071744081,4
653329815079421030,4
653329815087097979,7
653329815094774928,12
653329815102451877,14
653329815110128826,12
653329815117805775,14
653329815125482724,14
653329815133159673,7
653329815140836622,-2
653329815148513571,0
653329815156190520,9
653329815163867469,7
653329815171544418,4
653329815179221367,12
653329815186898316,19
653329815194575265,17
653329815202252214,17
653329815209929163,24
653329815217606112,21
653329815225283061,21
653329815232960010,26
653329815240636959,31
653329815248313908,34
653329815255990857,29
653329815263667806,26
653329815271344755,34
653329815279021704,41
653329815286698653,38
653329815294375602,38
653329815302052551,38
653329815309729500,41
653329815317406449,43
653329815325083398,43
653329815332760347,41
653329815340437296,38
653329815348114245,43
653329815355791194,55
653329815363468143,70
653329815371145092,70
653329815378822041,58
653329815386498990,51
653329815394175955,43
653329815401852904,34
653329815409529853,29
653329815417206802,36
653329815424883751,41
653329815432560700,46
653329815440237649,41
653329815447914598,14
653329815455591547,4
653329815463268496,157
653329815470945445,514
653329815478622394,811
653329815486299343,624
653329815493976292,38
653329815501653241,-194
653329815509330190,24
653329815517007139,72
653329815524684088,-46
653329815532361037,-29
653329815540037986,17
653329815547714935,2
653329815555391884,4
653329815563068833,24
653329815570745782,24
653329815578422731,29
653329815586099680,43
653329815593776629,43
653329815601453578,38
