timestamp,red,green,ir,,,,
26083,156903,37519,191588,,,,
26092,156934,37533,191576,,,,
26102,156910,37543,191600,,,,
26113,156900,37519,191591,,,,
26123,156895,37528,191583,,,,
26132,156906,37526,191592,,,,
26142,156903,37525,191590,,,,
26152,156906,37541,191576,,,,
26162,156893,37523,191586,,,,
26172,156885,37537,191576,,,,
26182,156888,37533,191559,,,,
26192,156861,37536,191558,,,,
26202,156864,37538,191551,,,,
26212,156858,37517,191567,,,,
26222,156870,37540,191569,,,,
26232,156849,37537,191556,,,,
26243,156843,37546,191551,,,,
26252,156841,37536,191552,,,,
26262,156848,37545,191555,,,,
26272,156838,37528,191547,,,,
26282,156822,37541,191562,,,,
26292,156834,37554,191559,,,,
26302,156812,37547,191572,,,,
26312,156825,37553,191556,,,,
26322,156827,37556,191557,,,,
26333,156807,37545,191568,,,,
26342,156831,37557,191555,,,,
26352,156841,37555,191540,,,,
26362,156838,37548,191561,,,,
26372,156823,37557,191556,,,,
26382,156854,37562,191562,,,,
26392,156834,37559,191554,,,,
26402,156824,37560,191562,,,,
26413,156818,37558,191550,,,,
26422,156818,37568,191563,,,,
26432,156822,37569,191550,,,,
26442,156817,37566,191551,,,,
26452,156805,37564,191558,,,,
26461,156818,37581,191526,,,,
26472,156821,37573,191553,,,,
26482,156809,37582,191540,,,,
26492,156782,37576,191572,,,,
26501,156809,37586,191546,,,,
26512,156786,37586,191567,,,,
26522,156778,37584,191522,,,,
26532,156782,37589,191545,,,,
26541,156785,37598,191545,,,,
26552,156751,37595,191544,,,,
26562,156766,37590,191540,,,,
26572,156749,37597,191523,,,,
26582,156771,37594,191530,,,,
26592,156753,37608,191528,,,,
26602,156755,37611,191512,,,,
26612,156750,37596,191538,,,,
26622,156737,37603,191539,,,,
26631,156778,37599,191523,,,,
26642,156770,37579,191540,,,,
26652,156769,37586,191511,,,,
26668,156758,37578,191558,,,,
26671,156790,37578,191557,,,,
26681,156806,37565,191568,,,,
26692,156792,37571,191529,,,,
26702,156774,37554,191547,,,,
26711,156773,37542,191512,,,,
26721,156750,37542,191552,,,,
26732,156767,37543,191527,,,,
26742,156749,37531,191507,,,,
26751,156749,37518,191510,,,,
26762,156742,37519,191488,,,,
26772,156725,37534,191450,,,,
26782,156714,37523,191469,,,,
26791,156706,37516,191476,,,,
26801,156692,37524,191456,,,,
26812,156711,37524,191453,,,,
26822,156686,37517,191454,,,,
26832,156710,37515,191446,,,,
26841,156713,37510,191452,,,,
26851,156713,37513,191453,,,,
26861,156710,37498,191494,,,,
26872,156703,37494,191446,,,,
26882,156704,37508,191475,,,,
26892,156686,37513,191442,,,,
26902,156714,37502,191434,,,,
26912,156677,37502,191432,,,,
26921,156685,37486,191434,,,,
26931,156674,37517,191437,,,,
26941,156680,37509,191443,,,,
26952,156666,37511,191430,,,,
26961,156656,37502,191437,,,,
26971,156683,37497,191454,,,,
26982,156641,37504,191459,,,,
26991,156676,37522,191423,,,,
27001,156687,37513,191435,,,,
27012,156665,37504,191428,,,,
27022,156674,37515,191448,,,,
27032,156673,37510,191430,,,,
27041,156662,37522,191428,,,,
27051,156634,37530,191426,,,,
27061,156666,37518,191421,,,,
27072,156652,37520,191401,,,,
27082,156656,37528,191416,,,,
27091,156634,37521,191414,,,,
27102,156637,37525,191423,,,,
27112,156634,37527,191398,,,,
27122,156635,37522,191411,,,,
27131,156633,37515,191394,,,,
27141,156622,37506,191378,,,,
27152,156622,37525,191396,,,,
27162,156619,37522,191381,,,,
27171,156624,37518,191378,,,,
27181,156640,37526,191388,,,,
27191,156614,37531,191377,,,,
27201,156603,37531,191385,,,,
27211,156628,37534,191391,,,,
27221,156596,37515,191369,,,,
27231,156627,37542,191387,,,,
27241,156604,37534,191359,,,,
27250,156630,37513,191376,,,,
27261,156628,37523,191379,,,,
27271,156608,37537,191353,,,,
27282,156621,37542,191386,,,,
